h1x_velocity,h1y_velocity,h1z_velocity,h2x_velocity,h2y_velocity,h2z_velocity,center_x,center_y,center_z,center_x_velocity,center_y_velocity,center_z_velocity,h1x_position,h1y_position,h1z_position,h2x_position,h2y_position,h2z_position,hand1_to_center,hand2_to_center,h1x_cg,h1y_cg,h1z_cg,h2x_cg,h2y_cg,h2z_cg,hand_distance,time
0.051985,0.009694,-0.049031,0.051985,0.009694,-0.049031,1.005022,-0.940530,2.323113,0.051985,0.009694,-0.049031,1.005022,-0.940530,2.323113,1.005022,-0.940530,2.323113,0.000000,0.000000,1.008538,-0.939280,2.315728,1.008538,-0.939280,2.315728,0.000000,66
0.019112,0.006786,-0.040176,0.019112,0.006786,-0.040183,1.005659,-0.940304,2.321774,0.019112,0.006786,-0.040176,1.005659,-0.940304,2.321774,1.005659,-0.940304,2.321773,0.000000,0.040183,1.015584,-0.939342,2.315728,1.015584,-0.939342,2.315728,0.000000,67
0.053970,0.005243,-0.032887,0.053970,0.005243,-0.032880,1.007458,-0.940129,2.320677,0.053970,0.005243,-0.032887,1.007458,-0.940129,2.320677,1.007458,-0.940129,2.320677,0.000000,0.000000,0.997777,-0.946393,2.332315,0.997777,-0.946393,2.332315,0.000000,68
-0.052643,-0.034069,0.063293,-0.052643,-0.034069,0.063293,1.005704,-0.941265,2.322787,-0.052643,-0.034069,0.063293,1.005704,-0.941265,2.322787,1.005704,-0.941265,2.322787,0.000000,0.000000,1.003153,-0.938969,2.315728,1.003153,-0.938969,2.315728,0.000000,69
-0.013862,0.012483,-0.038381,-0.013862,0.012483,-0.038388,1.005242,-0.940849,2.321507,-0.013862,0.012483,-0.038388,1.005242,-0.940849,2.321508,1.005242,-0.940849,2.321507,-0.038381,0.000000,1.004747,-0.944242,2.332315,1.004747,-0.944242,2.332315,0.000000,70
-0.002689,-0.018452,0.058765,-0.002689,-0.018452,0.058765,1.005152,-0.941464,2.323466,-0.002689,-0.018452,0.058765,1.005152,-0.941464,2.323467,1.005152,-0.941464,2.323466,0.058765,0.000000,1.009874,-0.936854,2.315728,1.009874,-0.936854,2.315728,0.000000,71
0.025671,0.025072,-0.042078,0.025671,0.025072,-0.042071,1.006008,-0.940628,2.322064,0.025671,0.025072,-0.042071,1.006008,-0.940628,2.322064,1.006008,-0.940628,2.322064,0.000000,0.000000,1.008034,-0.937759,2.315728,1.008034,-0.937759,2.315728,0.000000,72
0.011029,0.015603,-0.034461,0.011029,0.015603,-0.034461,1.006375,-0.940108,2.320915,0.011029,0.015603,-0.034461,1.006375,-0.940108,2.320915,1.006375,-0.940108,2.320915,0.000000,0.000000,1.013977,-0.945730,2.332315,1.013977,-0.945730,2.332315,0.000000,73
0.041335,-0.030579,0.062013,0.041335,-0.030579,0.062013,1.007753,-0.941127,2.322982,0.041335,-0.030579,0.062013,1.007753,-0.941127,2.322982,1.007753,-0.941127,2.322982,0.000000,0.000000,0.999008,-0.937342,2.315728,0.999008,-0.937342,2.315728,0.000000,74
-0.047565,0.020580,-0.039468,-0.047565,0.020580,-0.039468,1.006168,-0.940441,2.321667,-0.047565,0.020580,-0.039468,1.006168,-0.940441,2.321667,1.006168,-0.940441,2.321667,0.000000,0.000000,0.985222,-0.940110,2.332315,0.985222,-0.940110,2.332315,0.000000,75
